Date,BTCUSDT Close,LTCUSDT Close
2022-05-30,30353.07000000,65.70000000
2022-05-31,31772.82000000,69.30000000
2022-06-01,31627.30000000,68.80000000
2022-06-02,29730.12000000,62.40000000
2022-06-03,30529.96000000,64.50000000
2022-06-04,29560.12000000,61.80000000
2022-06-05,29766.95000000,62.90000000
2022-06-06,31251.00000000,65.50000000
2022-06-07,29563.62000000,61.50000000
2022-06-08,30026.72000000,62.50000000
2022-06-09,30293.49000000,61.40000000
2022-06-10,30114.38000000,59.90000000
2022-06-11,29272.43000000,57.60000000
2022-06-12,27553.23000000,49.80000000
2022-06-13,25520.05000000,45.40000000
2022-06-14,22127.91000000,44.50000000
2022-06-15,21455.80000000,44.76000000
2022-06-16,22211.62000000,49.67000000
2022-06-17,20383.38000000,45.69000000
2022-06-18,20459.65000000,47.50000000
2022-06-19,18311.09000000,45.31000000
2022-06-20,19980.49000000,52.89000000
2022-06-21,20614.04000000,52.98000000
2022-06-22,20317.88000000,51.33000000
2022-06-23,20213.79000000,54.19000000
2022-06-24,21073.73000000,55.87000000
2022-06-25,21300.62000000,56.53000000
2022-06-26,21426.23000000,59.94000000
2022-06-27,21171.32000000,57.83000000
2022-06-28,20735.03000000,54.69000000
2022-06-29,20282.96000000,52.88000000
2022-06-30,20077.01000000,53.18000000
2022-07-01,19730.76000000,53.50000000
2022-07-02,19130.90000000,50.66000000
2022-07-03,19264.29000000,50.45000000
2022-07-04,19103.54000000,49.98000000
2022-07-05,20312.98000000,51.82000000
2022-07-06,19951.47000000,49.83000000
2022-07-07,20480.61000000,50.02000000
2022-07-08,22130.56000000,53.59000000
2022-07-09,21612.62000000,51.89000000
2022-07-10,21294.98000000,53.94000000
2022-07-11,20540.69000000,51.44000000
2022-07-12,19942.33000000,48.71000000
2022-07-13,19473.68000000,47.87000000
2022-07-14,20224.24000000,49.35000000
2022-07-15,20611.83000000,51.35000000
2022-07-16,20738.00000000,51.48000000
2022-07-17,21324.18000000,55.56000000
2022-07-18,21280.02000000,57.37000000
2022-07-19,21903.55000000,56.32000000
2022-07-20,23436.85000000,58.38000000
2022-07-21,22777.20000000,55.70000000
2022-07-22,22909.90000000,57.57000000
2022-07-23,22808.55000000,56.42000000
2022-07-24,22331.86000000,56.96000000
2022-07-25,21867.75000000,56.16000000
2022-07-26,21141.53000000,53.57000000
2022-07-27,21076.86000000,53.17000000
2022-07-28,23133.45000000,60.00000000
2022-07-29,23912.85000000,63.62000000
2022-07-30,23801.35000000,61.20000000
2022-07-31,23737.40000000,60.92000000
2022-08-01,23375.62000000,60.04000000
