Date,Open,High,Low,Close,Volume,OpenInterest
1644109200.0,41478.67000000,41640.00000000,41475.85000000,41606.03000000,567.02825000,0.0
1644112800.0,41606.04000000,41628.19000000,41462.73000000,41534.56000000,602.64639000,0.0
1644116400.0,41534.57000000,41556.01000000,41431.13000000,41444.04000000,399.47500000,0.0
1644120000.0,41444.03000000,41545.41000000,41305.29000000,41543.41000000,706.11945000,0.0
1644123600.0,41543.41000000,41587.44000000,41490.38000000,41572.96000000,364.03309000,0.0
1644127200.0,41572.97000000,41580.04000000,41401.58000000,41451.37000000,478.02756000,0.0
1644130800.0,41451.37000000,41714.18000000,41405.92000000,41612.33000000,719.75161000,0.0
1644134400.0,41612.32000000,41660.63000000,41489.95000000,41640.00000000,629.80212000,0.0
1644138000.0,41640.00000000,41672.99000000,41579.98000000,41648.99000000,479.40829000,0.0
1644141600.0,41649.00000000,41700.01000000,41531.16000000,41578.68000000,484.01162000,0.0
1644145200.0,41578.68000000,41627.63000000,41444.00000000,41522.00000000,437.08913000,0.0
1644148800.0,41522.00000000,41645.34000000,41487.82000000,41610.99000000,596.48693000,0.0
1644152400.0,41610.99000000,41834.99000000,41479.28000000,41692.35000000,1375.97812000,0.0
1644156000.0,41692.35000000,42168.00000000,41204.45000000,41306.34000000,3357.29142000,0.0
1644159600.0,41306.34000000,41600.00000000,41116.56000000,41519.49000000,2034.81916000,0.0
1644163200.0,41519.48000000,41698.08000000,41417.23000000,41640.85000000,876.97558000,0.0
1644166800.0,41640.84000000,41747.40000000,41546.65000000,41644.84000000,748.35666000,0.0
1644170400.0,41644.84000000,41674.43000000,41426.60000000,41509.04000000,612.59519000,0.0
1644174000.0,41509.04000000,41732.00000000,41487.99000000,41717.94000000,498.06208000,0.0
1644177600.0,41717.93000000,41748.03000000,41500.23000000,41569.99000000,669.83009000,0.0
1644181200.0,41569.99000000,41720.85000000,41535.16000000,41649.98000000,434.66354000,0.0
1644184800.0,41649.98000000,41782.80000000,41536.86000000,41590.73000000,472.18573000,0.0
1644188400.0,41590.74000000,42656.00000000,41478.86000000,42380.87000000,4365.42262000,0.0
1644192000.0,42380.87000000,42500.00000000,41645.85000000,41830.55000000,2654.75283000,0.0
1644195600.0,41830.54000000,42266.27000000,41699.99000000,42098.41000000,2097.84745000,0.0
1644199200.0,42102.42000000,42695.00000000,42095.13000000,42332.99000000,2958.78056000,0.0
1644202800.0,42333.00000000,42944.20000000,42332.23000000,42818.99000000,2210.08648000,0.0
1644206400.0,42819.00000000,42900.00000000,42700.00000000,42815.74000000,1650.32562000,0.0
1644210000.0,42815.73000000,43000.00000000,42685.34000000,42798.10000000,2096.69625000,0.0
1644213600.0,42798.09000000,42823.00000000,42653.33000000,42749.36000000,1085.72351000,0.0
1644217200.0,42749.35000000,42768.33000000,42551.96000000,42723.92000000,1076.01009000,0.0
1644220800.0,42723.91000000,42767.69000000,42522.08000000,42596.49000000,1204.23670000,0.0
1644224400.0,42596.49000000,42636.46000000,42234.09000000,42410.63000000,1695.93013000,0.0
1644228000.0,42410.62000000,42640.20000000,42350.00000000,42560.00000000,1150.42707000,0.0
1644231600.0,42559.99000000,42754.56000000,42559.99000000,42720.03000000,1725.40331000,0.0
1644235200.0,42720.03000000,42790.60000000,42490.02000000,42639.93000000,1257.33129000,0.0
1644238800.0,42639.92000000,42900.00000000,42611.77000000,42799.47000000,1272.08618000,0.0
1644242400.0,42799.47000000,43475.08000000,42766.06000000,43411.15000000,4505.33198000,0.0
1644246000.0,43411.16000000,43895.02000000,43105.00000000,43835.59000000,4320.62993000,0.0
1644249600.0,43835.59000000,44077.00000000,43484.91000000,43797.71000000,4092.43480000,0.0
1644253200.0,43797.70000000,44313.19000000,43601.00000000,44204.42000000,2315.73714000,0.0
1644256800.0,44204.41000000,44500.50000000,43708.00000000,44065.25000000,3442.24216000,0.0
1644260400.0,44065.25000000,44495.02000000,43954.32000000,44252.80000000,2208.88557000,0.0
1644264000.0,44252.31000000,44438.93000000,43792.77000000,44131.88000000,2240.66458000,0.0
1644267600.0,44131.88000000,44248.71000000,43769.64000000,44085.24000000,1560.37920000,0.0
1644271200.0,44085.23000000,44180.29000000,43966.52000000,44068.99000000,832.12185000,0.0
1644274800.0,44069.99000000,44190.58000000,43742.90000000,43839.99000000,1406.55538000,0.0
1644278400.0,43839.99000000,43992.53000000,43555.72000000,43850.00000000,2234.79248000,0.0
1644282000.0,43849.99000000,44077.77000000,43798.80000000,44042.35000000,1064.18637000,0.0
1644285600.0,44042.34000000,44102.50000000,43888.55000000,43954.99000000,1129.66778000,0.0
1644289200.0,43955.01000000,44185.00000000,43835.41000000,44178.57000000,1660.77202000,0.0
1644292800.0,44178.57000000,44363.34000000,44073.73000000,44362.01000000,1646.56491000,0.0
1644296400.0,44362.02000000,45000.00000000,44234.54000000,44883.08000000,2746.06000000,0.0
1644300000.0,44883.08000000,45492.00000000,44237.74000000,44791.58000000,5934.69128000,0.0
1644303600.0,44791.58000000,44927.83000000,44604.48000000,44855.00000000,2154.79837000,0.0
1644307200.0,44855.00000000,44919.77000000,43750.00000000,44004.51000000,5353.49308000,0.0
1644310800.0,44004.51000000,44257.55000000,43520.96000000,43859.02000000,6638.10638000,0.0
1644314400.0,43859.01000000,43938.45000000,43569.76000000,43857.00000000,3165.50946000,0.0
1644318000.0,43857.00000000,44066.02000000,43711.10000000,43988.30000000,1548.07687000,0.0
1644321600.0,43988.30000000,43988.31000000,43105.30000000,43458.92000000,3510.11939000,0.0
1644325200.0,43458.92000000,43632.37000000,43193.02000000,43624.95000000,3472.02736000,0.0
1644328800.0,43624.95000000,43856.28000000,43525.60000000,43579.31000000,1854.86741000,0.0
1644332400.0,43580.08000000,43585.85000000,42854.81000000,43429.31000000,3595.45402000,0.0
1644336000.0,43429.32000000,43685.20000000,42910.00000000,43017.01000000,2906.60182000,0.0
1644339600.0,43017.00000000,43204.03000000,42666.00000000,42953.86000000,3037.85262000,0.0
1644343200.0,42953.87000000,43259.80000000,42850.01000000,42978.55000000,1403.83258000,0.0
